store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
flat,-,W5,1048576,300,8,0,1,0.3796,0.4557,0.6469,0.8652,317778165,9600,8554363,0.0,p215,e182923e248ce895,9623590,8554099,1.13,0,-1
chunked,65536K,W5,1048576,300,8,0,1,0.0037,0.0104,0.0226,0.0302,40651,0,1144829,0.0,p215,e182923e248ce895,9623590,1161861,8.28,0,-1
flat,-,W5,1048576,300,64,0,1,0.3774,0.4938,0.7545,1.5544,317778165,9600,68321359,0.0,p215,e182923e248ce895,69388794,68319303,1.02,0,-1
chunked,65536K,W5,1048576,300,64,0,1,0.0045,0.0133,0.0346,0.0434,40651,0,1469824,0.0,p215,e182923e248ce895,69388794,1480744,46.86,0,-1
flat,-,W1,4194304,300,1,0,1,1.5677,2.3585,3.7777,4.4398,1258529395,9600,4195621,0.0,p215,9a8d4077892bf8a,8391162,4195581,2.00,0,-1
chunked,65536K,W1,4194304,300,1,0,1,0.0083,0.0158,0.0638,0.0988,3995,0,4214067,0.0,p215,9a8d4077892bf8a,8391162,4229803,1.98,0,-1
flat,-,W1,4194304,300,8,0,1,1.5848,1.8795,2.2226,2.4236,1258529395,9600,33564875,0.0,p215,9a8d4077892bf8a,37760192,33564611,1.13,0,-1
chunked,65536K,W1,4194304,300,8,0,1,0.0077,0.0146,0.0268,0.1127,3995,0,4278019,0.0,p215,9a8d4077892bf8a,37760192,4293019,8.80,0,-1
flat,-,W1,4194304,300,64,0,1,1.7605,2.2681,3.5441,3.6721,1258529395,9600,268514034,0.0,p215,9a8d4077892bf8a,272707559,268511978,1.02,0,-1
chunked,65536K,W1,4194304,300,64,0,1,0.0103,0.0221,0.0723,0.5162,3995,0,4740899,0.0,p215,9a8d4077892bf8a,272707559,4750331,57.41,0,-1
flat,-,W5,4194304,300,1,0,1,1.6325,2.0359,2.2457,2.2558,1261496565,9600,4215259,0.0,p215,77dc2c037691a0bb,8430438,4215219,2.00,0,-1
chunked,65536K,W5,4194304,300,1,0,1,0.0048,0.0119,0.0224,0.0288,40651,0,4247965,0.0,p215,77dc2c037691a0bb,8430438,4265685,1.98,0,-1
flat,-,W5,4194304,300,8,0,1,1.4205,1.7004,1.9589,2.1020,1261496565,9600,33720187,0.0,p215,77dc2c037691a0bb,37935142,33719923,1.13,0,-1
chunked,65536K,W5,4194304,300,8,0,1,0.0059,0.0144,0.0278,0.0333,40651,0,4297853,0.0,p215,77dc2c037691a0bb,37935142,4314885,8.79,0,-1
flat,-,W5,4194304,300,64,0,1,1.4591,1.7772,3.3287,4.0911,1261496565,9600,269647951,0.0,p215,77dc2c037691a0bb,273861114,269645895,1.02,0,-1
chunked,65536K,W5,4194304,300,64,0,1,0.0087,0.0220,0.0365,0.0553,40651,0,4665856,0.0,p215,77dc2c037691a0bb,273861114,4676776,58.56,0,-1
flat,-,W1,16777216,300,1,0,1,6.4632,7.4098,8.6677,12.0635,5033402995,9600,16778533,0.0,p215,3c878bd7cf1af95b,33556986,16778493,2.00,0,-1
